분류,지역(시),지역(구),기관(시설)명1,기관(시설)명2,전화번호,홈페이지주소,주소,상세주소
기초정신건강증진센터,경상남도,창원시 의창구,창원정신건강복지센터,,055-287-1223,www.cwmhc.or.kr,경상남도 창원시 의창구 중앙대로 162번길 9,
기초정신건강증진센터,경상북도,봉화군,봉화군정신건강복지센터,,054-674-1126,www.bhmhwc.com,경상북도 봉화군 봉화읍 봉화로 1203,
기초정신건강증진센터,경상북도,칠곡군,칠곡군정신건강복지센터,,054-973-2023,www.cgmental.co.kr,경상북도 칠곡군 왜관읍 관문로1길 30,
기초정신건강증진센터,경상북도,성주군,성주군정신건강복지센터,,054-930-8264,www.sj.go.kr,경상북도 성주군 성주읍 성밖숲길 12,
기초정신건강증진센터,경상북도,영덕군,영덕군정신건강복지센터,,054-730-7161,www.yd.go.kr,경상북도 영덕군 영덕읍 경동로 8367,
기초정신건강증진센터,경상북도,경산시,경산시정신건강복지센터,,053-816-7190,www.gsmind.or.kr,경상북도 남매로 158 경산시보건소,
기초정신건강증진센터,경상북도,문경시,문경시정신건강복지센터,,054-554-0802,www.mgmind.or.kr,경상북도 문경시 신흥로 165(2층),
기초정신건강증진센터,경상북도,상주시,상주시정신건강복지센터,,054-536-0668,www.sangjumind.org,경상북도 상주시 경상대로3023,
기초정신건강증진센터,경상북도,영천시,영천시정신건강복지센터,,054-331-6770,www.영천시정신건강복지센터.kr,경상북도 영천시 조양공원길 21,
기초정신건강증진센터,경상북도,영주시,영주시정신건강복지센터,,054-639-3891,www.bhmhwc.com,경상북도 영주시 영주로 159번길 73 영주시치매안심센터 2층,
기초정신건강증진센터,경상북도,구미시,구미시정신건강복지센터,,054-480-4045,www.mgmind.or.kr,경상북도 구미시 선산대로 111,
기초정신건강증진센터,경상북도,안동시,안동시정신건강복지센터,,054-842-9933,www.andongmind.com,경상북도 안동시 경동로 663 남부빌딩 2층,
기초정신건강증진센터,경상북도,김천시,김천시정신건강복지센터,,054-433-4005,,경상북도 김천시 체육공원길 21,3층
기초정신건강증진센터,경상북도,경주시,경주시정신건강복지센터,,054-777-1577,www.gjmind.or.kr,경상북도 경주시 양저로 300(경주시 보건소 2층),
기초정신건강증진센터,경상북도,포항시 북구,포항시북구정신건강복지센터,,054-270-4194,www.pohang.go.kr/iphhealth,경상북도 포항시 북구 삼흥로98,
기초정신건강증진센터,경상북도,포항시 남구,포항시남구정신건강복지센터,,054-270-4004,www.pohang.go.kr/ihealth,경상북도 포항시 남구 동해안로6119,
기초정신건강증진센터,전라남도,화순군,화순시정신건강복지센터,,061-374-4610,,전라남도 화순군 화순읍 쌍충로 62 화순군 보건소 3층,
기초정신건강증진센터,전라남도,진도군,진도군정신건강복지센터,,061-540-6058,,전라남도 진도군 진도읍 남동1길 40-9,
기초정신건강증진센터,전라남도,완도군,완도군 정신건강증진센터,,061-550-6745,www.hampyeong.go.kr/health,전라남도 완도군.읍 농공단지길 34,
기초정신건강증진센터,전라남도,장성군,장성군정신건강복지센터,,061-390-8318,,전라남도 장성군 청운 11길 13,
기초정신건강증진센터,전라남도,영광군,영광군정신건강복지센터,,061-350-5666,ykcenter.com,전라남도 영광군 영광읍 신남로 4길 17,
기초정신건강증진센터,전라남도,함평군,함평군정신건강복지센터,,061-320-2428,,전라남도 함평군 함평읍 중앙길 54-8,
기초정신건강증진센터,전라남도,무안군,무안군정신건강복지센터,,061-450-5033,muan.go.kr,전라남도 무안군 무안읍 무안로 530,
기초정신건강증진센터,전라남도,해남군,해남군정신건강복지센터,,061-530-3713,www.ykcenter.com,전라남도 해남군 해남읍 해남로 46,
기초정신건강증진센터,전라남도,강진군,강진군정신건강복지센터,,061-430-3542,www.yshealth.yeosu.go.kr,전라남도 강진군강진읍 목리길11,
기초정신건강증진센터,전라남도,장흥군,장흥군 정신건강증진센터,,061-860-0199,,전라남도 장흥군 장흥읍 동교1길 13,
기초정신건강증진센터,전라남도,보성군,보성군정신건강복지센터,,061-853-5500,www.bsmind.or.kr,전라남도 보성군 송재로 153. 2층,
기초정신건강증진센터,전라남도,고흥군,고흥군정신건강복지센터,,061-830-5794,www.muan.go.kr,전라남도 고흥군 등암3길 5,
기초정신건강증진센터,전라남도,구례군,구례군정신건강복지센터,,061-780-2047,www.gorye.go.kr/health,전라남도 구례군 구례읍 동편제길 30,
기초정신건강증진센터,전라남도,곡성군,곡성군정신건강복지센터,,061-360-7584,gsgmind.or.kr,전라남도 곡성군 곡성읍 곡성로,
기초정신건강증진센터,전라남도,담양군,담양군정신건강복지센터,,061-380-2971,www.najumind.or.kr,전라남도 담양군 담양읍 완동길 10-11,
기초정신건강증진센터,전라남도,광양시,광양시정신건강복지센터,,061-797-4008,www.gwangyang.go.kr,전라남도 광양시 광양읍 인덕로 1100,
기초정신건강증진센터,전라남도,나주시,나주시정신건강복지센터,,061-333-6200,www.gwangyang.go.kr,전라남도 나주시 건재로 211 1층,
기초정신건강증진센터,전라남도,순천시,순천시정신건강복지센터,,061-749-6695,www.gsgmind.or.kr,전라남도 순천시 중앙로 232 순천시보건소 3층 정신건강복지센터,
기초정신건강증진센터,전라남도,여수시,여수시정신건강복지센터,,061-659-4255,yshealth.yeosu.go.kr,전라남도 여수시 시청서4길 47(학동),
기초정신건강증진센터,전라남도,목포시,목포시정신건강복지센터,,061-276-0199,www.jncsw.org/mmhc,전라남도 목포시 석현로48(2층),
기초정신건강증진센터,전라북도,부안군,부안군정신건강복지센터,,063-581-5830,www.bmhc.or.kr,전라북도 부안군 부안읍 오리정로 124,
기초정신건강증진센터,전라북도,고창군,고창군정신건강복지센터,,063-563-8751,www.gcmhc.or.kr,전라북도 고창군 전봉준로90,
기초정신건강증진센터,전라북도,무주군,무주군정신건강복지센터,,063-320-8333,www.muju.go.kr,전라북도 전북 무주군 무주읍 한풍루로 413,
기초정신건강증진센터,전라북도,진안군,진안군정신건강복지센터,,063-430-8582,www.business.jinan.go.kr,전라북도 진안군 진무로1189,
기초정신건강증진센터,전라북도,완주군,완주군정신건강복지센터,,063-262-3066,www.wjmhc.or.kr,전라북도 완주군 봉동동서로 89,
기초정신건강증진센터,전라북도,김제시,김제시정신건강복지센터,,063-542-1350,www.gimjemind.or.kr,전라북도 김제시 성산길 138,
기초정신건강증진센터,전라북도,남원시,남원시정신건강복지센터,,063-625-4122,www.namwon.go.kr,전라북도 남원시 동문로 42-1(남원농협 동문지점 2층),
기초정신건강증진센터,전라북도,정읍시,정읍시정신건강복지센터,,063-535-2101,www.jemhc.or.kr,전라북도 정읍시 수성1로 61 2층,
기초정신건강증진센터,전라북도,익산시,익산시정신건강복지센터,,063-841-4235,www.iksanmh.or.kr,전라북도 익산시 무왕로 975,
기초정신건강증진센터,전라북도,군산시,군산시정신건강복지센터,,063-451-0363,www.ksmhc.or.kr,전라북도 군산시 대야면 백마길 16,
기초정신건강증진센터,전라북도,전주시,전주시정신건강복지센터,,063-273-6996,www.gcmhc.or.kr,전라북도 전주시 덕진구 벚꽃로 55 덕진진료실 2층,
기초정신건강증진센터,충청남도,태안군,태안군정신건강복지센터,,041-671-5408,,충청남도 태안군 태안읍 서해로 1952-16,
기초정신건강증진센터,충청남도,예산군,예산군정신건강복지센터,,041-339-8993,,충청남도 예산군 예산읍 군청로22,
기초정신건강증진센터,충청남도,홍성군,홍성군정신건강복지센터,,041-632-2588,www.health.cheongyang.go.kr,충청남도 홍성군 홍성읍 문화로 106,
기초정신건강증진센터,충청남도,청양군,청양군정신건강복지센터,,041-940-4500,www.health.cheongyang.go.kr,충청남도 청양군 청양읍 칠갑산로7길 54,
기초정신건강증진센터,충청남도,서천군,서천군정신건강복지센터,,041-950-6732,,충청남도 서천군 서천읍 사곡길 26,
기초정신건강증진센터,충청남도,부여군,부여군정신건복지센터,,041-830-8629,,충청남도 부여군 부여읍 성왕로 205,
기초정신건강증진센터,충청남도,금산군,금산군정신건강복지센터,,041-751-4721,www.seosan.go.kr/health,충청남도 금산군 금산읍 금산로 1559 다락원스포츠센터 내 1층,
기초정신건강증진센터,충청남도,당진시,당진시정신건강복지센터,,041-352-4077,www.cancenter.or.kr,충청남도 당진시 서부로 56,
기초정신건강증진센터,충청남도,계룡시,계룡시정신건강복지센터,,042-840-3575,,충청남도 계룡시 장안로 54(금암동 10-5),
기초정신건강증진센터,충청남도,논산시,논산시 정신건강복지센터,,041-746-8073,,충청남도 논산시 논산대로382,
기초정신건강증진센터,충청남도,서산시,서산시정신건강복지센터,,041-667-6550,www.seosan.go.kr/health,충청남도 서산시 호수공원6로 6,
기초정신건강증진센터,충청남도,아산시,아산시정신건강복지센터,,041-537-3451,www.dangjin.go.kr/health.do,충청남도 아산시 번영로 224번길 20,
기초정신건강증진센터,충청남도,보령시,보령시정신건강복지센터,,041-930-5960,www.brcn.go.kr/health.do,충청남도 보령시 보령남로 234,
기초정신건강증진센터,충청남도,공주시,공주시정신건강복지센터,,041-852-1094,www.gsmind.net,충청남도 공주시 봉황로 123 1층,
기초정신건강증진센터,충청남도,천안시 서북구,서북구정신건강복지센터,,041-578-9709,www.cancenter.or.kr,충청남도 천안시 서북구 서부8길 29,
기초정신건강증진센터,충청남도,천안시 동남구,동남구정신건강복지센터,,041-521-5011,,충청남도 천안시 동남구 버들로 40. 1층,
기초정신건강증진센터,충청북도,단양군,단양군정신건강복지센터,,043-420-3257,www.danyang.go.kr/health,충청북도 단양읍 삼봉로 53,
기초정신건강증진센터,충청북도,음성군,음성군정신건강복지센터,,043-872-1883,www.esmind.or.kr,충청북도 음성군 금왕읍 금석로 74,
기초정신건강증진센터,충청북도,괴산군,괴산군정신건강복지센터,,043-832-0330,www.gsmhc.co.kr,충청북도 괴산군 괴산읍 읍내로2길 27-10,
기초정신건강증진센터,충청북도,진천군,진천군정신건강복지센터,,043-536-8387,www.cjmental.co.kr,충청북도 진천군 진천읍 중앙북1길 11-8 진천군보건소 별관 2층,
기초정신건강증진센터,충청북도,증평군,증평군정신건강복지센터,,043-835-4276,www.jpmind.net,충청북도 증평군 증평읍 보건복지로 64-1,
기초정신건강증진센터,충청북도,영동군,영동군정신건강복지센터,,043-740-5624,www.yd21.go.kr,충청북도 영동군 영동읍 반곡동길 7 영동군보건소,
기초정신건강증진센터,충청북도,옥천군,옥천군정신건강복지센터,,043-730-2199,www.okmind.or.kr,충청북도 옥천군 옥천읍 삼양로 8길 10,
기초정신건강증진센터,충청북도,보은군,보은군정신건강복지센터,,043-544-6991,www.goodboeun.com,충청북도 보은군 보은읍 동광길 45,
기초정신건강증진센터,충청북도,제천시,제천시정신건강복지센터,,043-646-3074,www.jcmind.or.kr,충청북도 제천시 의림대로242 보건복지센터 3층,
기초정신건강증진센터,충청북도,충주시,충주시정신건강복지센터,,043-855-4006,www.mhc.cj100.net,충청북도 충주시 국원대로78 2층,
기초정신건강증진센터,충청북도,청주시 청원구,청원정신건강복지센터,,043-215-6868,www.yd21.go.kr,충청북도 청주시 청원구 오창읍 과학산업3로 238,
기초정신건강증진센터,충청북도,청주시 흥덕구,청주시흥덕정신건강복지센터,,043-234-8686,www.hdmind.or.kr,충청북도 청주시 흥덕구 비하로15번길 16,
기초정신건강증진센터,충청북도,청주시 서원구,청주시서원정신건강복지센터,,043-291-0199,www.danyang.go.kr/health,충청북도 청주시 서원구 구룡산로 235 4층,
기초정신건강증진센터,충청북도,청주시 상당구,청주시상당정신건강복지센터,,043-298-0199,www.gsmhc.co.kr,충청북도 청주시 상당구 남일면 단재로 480,
기초정신건강증진센터,강원도,양양군,양양군정신건강복지센터,,033-673-0199,www.diddid197.com,강원도 양양군 양양읍 양양로 9-5 2층 정신건강복지센터,
기초정신건강증진센터,강원도,고성군,고성군정신건강복지센터,,033-682-4020,www.goseongmetal.com,강원도 고성군 간성읍 수성로 30,
기초정신건강증진센터,강원도,인제군,인제군정신건강복지센터,,033-461-7427,www.inje.go.kr/health,강원도 인제군 인제읍 인제로140번길 34,
기초정신건강증진센터,강원도,양구군,양구군정신건강복지센터,,033-480-2789,www.ygcmhc.or.kr,강원도 양구군양구읍관공서로42 보건소4층,
기초정신건강증진센터,강원도,화천군,화천군정신건강복지센터,,033-440-2863,www.happy.ihc.go.kr,강원도 화천군 화천읍 강변로 111,
기초정신건강증진센터,강원도,철원군,철원군정신건강복지센터,,033-450-5124,www.health.cwg.go.kr,강원도 철원군 갈말읍 군탄로16,
기초정신건강증진센터,강원도,정선군,정선군정신건강복지센터,,033-562-4000,www.jeongseon.go.kr,강원도 정선군 정선읍 녹송로 33,
기초정신건강증진센터,강원도,평창군,평창군정신건강복지센터,,033-332-0199,www.jeongseon.go.kr,강원도평창군평창읍종부로61,
기초정신건강증진센터,강원도,영월군,영월군정신건강복지센터,,033-374-0199,www.ywmhc.or.kr,강원도 영월군 영월읍 하송로 46-43 1층,
기초정신건강증진센터,강원도,횡성군,횡성군정신건강복지센터,,033-345-9901,www.hsg.go.kr,강원도 횡성군 횡성읍 횡성로 379,
기초정신건강증진센터,강원도,홍천군,홍천군정신건강복지센터,,033-435-7482,www.hongcheon.gangwon.kr/mental,강원도 홍천군 홍천읍 신장대로5. 홍천군건강증진센터 2층,
기초정신건강증진센터,강원도,삼척시,삼척시정신건강복지센터,,033-574-0190,www.scmhc.or.kr,강원도 삼척시 척주로 76,
기초정신건강증진센터,강원도,속초시,속초시정신건강복지센터,,033-633-4088,www.ygcmhc.or.kr,강원도 속초시 중앙로 17번길 6,
기초정신건강증진센터,강원도,태백시,태백시정신건강복지센터,,033-554-1278,www.happymind-tb.or.kr,강원도 태백시 태백로 905,
기초정신건강증진센터,강원도,동해시,동해시정신건강복지센터,,033-533-0197,www.dhmhc.or.kr,강원도 동해시 청운로 96(쇄운동),
기초정신건강증진센터,강원도,강릉시,강릉시정신건강복지센터,,033-651-9668,www.gnmind.com,강원도 강릉시 강릉대로 313번길 6 1층,
기초정신건강증진센터,강원도,원주시,원주시정신건강복지센터,,033-746-0198,www.loveme.yonsei.kr,원일로139시민문화센터4층,
기초정신건강증진센터,강원도,춘천시,춘천시정신건강복지센터,,033-244-7574,www.chmhc.org,강원도 춘천시 효제길 35,
기초정신건강증진센터,경기도,일산동구,고양시아동청소년정신건강복지센터,,031-908-3567,www.hsmind.or.kr,경기도 고양시 일산동구 중앙로 1228 동구보건소 2층,
기초정신건강증진센터,경기도,분당구,성남시아동청소년정신건강복지센터,,031-751-2445,www.cmhc.co.kr,경기도 성남시 수정구 수정로 218 수정구보건소4층,
기초정신건강증진센터,경기도,수원시,수원시아동청소년정신건강센터,,031-242-5737,www.pocheonmind.com,경기도 수원시 팔달구 동말로 47번길 17,
기초정신건강증진센터,경기도,가평군,가평군정신건강복지센터,,031-581-8881,www.pajumind.org,경기도 가평군 가평읍 가화로 155-15,
기초정신건강증진센터,경기도,동두천시,동두천시정신건강증진센터,,031-863-3632,www.cmhc.co.kr,경기도 동두천시 중앙로 167,
기초정신건강증진센터,경기도,포천시,포천시 정신건강복지센터,,031-532-1655,www.pocheonmind.com,경기도 포천시 포천로 1612 보건소 3층,
기초정신건강증진센터,경기도,양주시,양주시정신건강복지센터,,031-840-7320,www.uwcmh.com,경기도 양주시 삼숭로61번길 10,
기초정신건강증진센터,경기도,구리시,구리시정신건강복지센터,,031-550-8672,www.guri.go.kr/main/health,경기도 구리시 건원대로 34번길 84 구리보건소 3층,
기초정신건강증진센터,경기도,파주시,파주시정신건강복지센터,,031-942-2117,www.pajumind.org,경기도 파주시 봉천로 68 파주건강증진센터 1층,
기초정신건강증진센터,경기도,의정부시,의정부시정신건강복지센터,,031-838-4181,www.umind.or.kr,경기도 의정부시 범골로 131 의정부시보건소 3층,
기초정신건강증진센터,경기도,남양주시,남양주시정신건강복지센터,,031-592-5891,www.ourmind.co.kr,경기 남양주시 경춘로 1037 남양주1청사 신관1층,
기초정신건강증진센터,경기도,덕양구,고양시정신건강복지센터,,031-968-2333,www.ypmental.or.kr,경기도 고양시 덕양구 고양시청로 13-6 현대빌딩 2층,
기초정신건강증진센터,경기도,과천시,과천시정신건강복지센터,,02-504-4440,www.kcmhc.or.kr,경기도 과천시 관문로 69 과천시보건소 1층,
기초정신건강증진센터,경기도,양평군,양평군정신건강복지센터,,031-771-3521,www.ypmental.or.kr,경기도 양평군 양평읍 중앙로 111번길 34-21,
기초정신건강증진센터,경기도,여주시,여주시정신신건강복지센터,,031-886-3435,www.asmhc.or.kr,경기도 여주시 세종로 338번지 여주대학교 대학본부 2층,
기초정신건강증진센터,경기도,의왕시,의왕시정신건강복지센터,,031-458-0682,www.uwcmh.com,경기도 의왕시 오봉로34 의왕시보건소 별관,
기초정신건강증진센터,경기도,하남시,하남시정신건강복지센터,,031-793-6552,www.shhealth.go.kr,경기도 하남시 대청로9 4층,
기초정신건강증진센터,경기도,오산시,오산시정신건강복지센터,,031-374-8680,www.osanmh.com,경기도 오산시경기동로59보건소2층,
기초정신건강증진센터,경기도,안성시,안성시정신건강복지센터,,031-678-5360,www.asmhwc.co.kr,경기도 안성시 강변로 74번길 18 안성시보건소 4층,
기초정신건강증진센터,경기도,이천시,이천시정신건강복지센터,,031-637-2330,www.imhc.co.kr,경기도 이천시 이섭대천로 1119 이천상공회의소 2층,
기초정신건강증진센터,경기도,김포시,김포시정신건강복지센터,,031-998-4006,www.gimpomhc.or.kr,경기도 김포시사우중로108보건소별관2층,
기초정신건강증진센터,경기도,광주시,광주시정신건강복지센터,,031-762-8728,www.gjcity.go.kr,경기도 광주시 파발로 194번지,
기초정신건강증진센터,경기도,군포시,군포시정신건강복지센터,,031-461-1771,www.gpcmhc.or.kr,경기도 군포시 군포로221,
기초정신건강증진센터,경기도,광명시,광명시정신건강복지센터,,02-897-7787,www.gmmhc.or.kr,경기도 광명시 오리로 613 3층,
기초정신건강증진센터,경기도,화성시,화성시정신건강복지센터,,031-352-0175,www.hsmind.or.kr,경기도 화성시 향남로 470 화성종합경기타운 실내체육관 내 1층,
기초정신건강증진센터,경기도,시흥시,시흥시정신건강복지센터,,031-316-6661,www.ourmind.co.kr,경기도 시흥시 호현로 55,
기초정신건강증진센터,경기도,평택시,평택시정신건강복지센터,,031-658-9818,www.gimpomhc.or.kr,경기도 평택시 평택5로 56 평택보건소 본관 2층,
기초정신건강증진센터,경기도,안양시 만안구,안양시정신건강복지센터,,031-469-2989,www.telepsy.co.kr,경기도 안양시 만안구 문예로 48,
기초정신건강증진센터,경기도,안산시 단원구,안산시정신건강복지센터,,031-411-7573,www.ansanmind.or.kr,경기도 안산시 단원구 화랑로 387,
기초정신건강증진센터,경기도,용인시 기흥구,용인시정신건강복지센터,,031-286-0949,www.ycenter.or.kr,경기도 용인시 기흥구 신갈로 58번길 11,
기초정신건강증진센터,경기도,부천시,부천시정신건강복지센터,,032-654-4024,www.gmmhc.or.kr,경기도 부천시 성오로 172 오정어울마당 3층,
기초정신건강증진센터,경기도,성남시 분당구,성남시정신건강복지센터,,031-754-3220,www.smhc.or.kr,경기도 성남시 수정구 수정로218 수정구보건소 5층,
기초정신건강증진센터,경기도,수원시,수원시노인정신건강복지센터,,031-273-7511,www.goyangmaum.org,경기도 수원시 영통구 영통로396 영통구보건소 4층,
기초정신건강증진센터,경기도,수원시,수원(성인)정신건강복지센터,,031-247-0888,www.goyangwithus.co.kr,경기도 수원시 팔달구 매산로 89 2층,
기초정신건강증진센터,경기도,수원시,수원시행복정신건강복지센터,,031-253-5737,www.gpmhc.com,경기도 수원시 장안구 송원로101 1층(조원동 장안구청),
기초정신건강증진센터,세종특별자치시,,세종시정신건강복지센터,,044-861-8521,www.healthymind.sejong.go.kr,세종특별자치시 조치원읍 수원지1길 16 세종시립의원 2층,
기초정신건강증진센터,울산광역시,울주군,울산울주군정신건강복지센터,,052-262-1148,www.ujcmhc.or.kr,울산광역시 울주군 서향교1길 67-12 2층,
기초정신건강증진센터,울산광역시,북구,울산북구정신건강복지센터,,052-288-0043,www.bukgumental.or.kr,울산광역시 북구 산업로 1018 북구보건소 2층,
기초정신건강증진센터,울산광역시,동구,울산동구정신건강복지센터,,052-233-1040,www.bukgumental.or.kr,울산광역시 동구 봉수로 155 동구보건소 3층,
기초정신건강증진센터,울산광역시,남구,울산남구정신건강복지센터,,052-227-1116,www.usdmental.com,울산광역시 남구 삼산중로 132(삼산동 남구보건소 3층),
