건강증진센터명,건강증진센터구분,소재지도로명주소,소재지지번주소,위도,경도,건강증진업무내용,운영시작시각,운영종료시각,휴무일정보,건물면적,의사수,간호사수,사회복지사수,영양사수,기타인력현황,기타이용안내,운영기관전화번호,운영기관명,관리기관전화번호,관리기관명,데이터기준일자,제공기관코드,제공기관명
중랑구정신건강복지센터,정신보건,서울특별시 중랑구 면목로 238,서울특별시 중랑구 면목동 378-4,37.5739185,127.0850931,중증정신질환자 등록 및 사례관리아동청소년 정신건강사업정신장애인 재활프로그램 운영정신건강상담,09:00,18:00,"매주 토요일, 일요일공휴일",316.9,1,1,10,,3,,02-2276-7000,서울특별시 서울의료원,02-2094-0853,서울특별시 중랑구 보건소,2019-05-15,3060000,서울특별시 중랑구
울산광역시 북구보건소 건강증진센터,건강증진,"울산광역시 북구 산업로 1018, 2층건강관리센터",울산광역시 북구 연암동 1082,35.583448,129.3607258,만성질환 예방 및 관리,09:00,18:00,"공휴일, 주말",943.48,0,3,0,2,운동처방사(2),12:00~13:00 중식시간 이용불가,052-241-8168,울산북구보건소,052-289-3450,울산광역시 북구 보건소,2019-09-05,3720000,울산광역시 북구
정신건강복지센터,정신보건,경상북도 경산시 화랑로8길 26 우리세명정신병원 3층,경상북도 경산시 갑제동 645-4,35.8188721557,128.771815047,정신건강증진사업 및 자살예방사업,09:00,18:00,"매주 토요일, 일요일, 공휴일",151,1,2,4,0,4,www.gsmind.or.kr,053-816-7190,세명병원,053-810-6383,경상북도 경산시보건소,2019-09-11,5130000,경상북도 경산시
목포시 보건소 건강증진센터,건강증진,전라남도 목포시 원산로 45번길 5,전라남도 목포시 산정동 1676,34.80442532,126.3737232,"운동상담, 영양상담, 금연상담",09:00,18:00,토요일+일요일+공휴일,,0,3,0,1,운동처방사(1)+금연상담사(2),,061-277-4000,목포시 보건소,061-277-4000,목포시 보건소,2020-10-08,4800000,전라남도 목포시
의정부시건강증진센터,건강증진,경기도 의정부시 범골로 131,경기도 의정부시 의정부동 516,37.736191,127.039582,"건강증진센터 운영(개인별 맞춤형 운동처방, 운동·영양 교육 및 상담), 대사증후군 관리",09:00,18:00,토요일+일요일+공휴일,159.51,0,1,0,1,운동처방사(1),,031-870-6089,의정부시보건소,031-870-6010,의정부시보건소,2020-06-01,3820000,경기도 의정부시
성북건강관리센터,건강증진,서울특별시 성북구 화랑로 63,서울특별시 성북구 하월곡동 46-1,37.60270967,127.039515,"일차진료, 대사증후군관리",09:00,18:00,매주일요일+매주토요일+공휴일,331.13,3,5,0,1,"5(운동사2, 임상병리사2, 일반1)",검사 전날 밤 10시부터 금식 요망,02-2241-6102,의약과,02-2241-6108,의약과,2020-07-14,3070000,서울특별시 성북구
성북구정신건강복지센터,정신보건,"서울특별시 성북구 화랑로 63, 6층","서울특별시 성북구 하월곡동 46-1, 6층",37.60270967,127.0395315,"초발,중증정신질환자관리, 아동청소년정신건강관리,우울자살예방, 알코올중독관리 및 예방, 정신보건 환경개발",09:00,18:00,매주일요일+매주토요일,,0,6,7,,,,02-2241-6313,성북구보건소,02-2241-6133,성북구보건소,2020-07-14,3070000,서울특별시 성북구
정신건강복지센터,정신보건,부산광역시 중구 흑교로 48,,35.103844,129.025465,"정신건강증진사업, 자살예방사업, 중증정신질환자 등록관리 등",09:00,18:00,토요일+일요일+공휴일,125.45,1,0,9,,2,,051-257-7057,메리놀병원,051-600-4778,부산광역시 중구 보건소,2020-10-14,3250000,부산광역시 중구
인제군 정신건강증진센터,정신보건,강원도 인제군 인제읍 인제로 140번길 34,,38.06327706,128.1685854,"정신건강증진센터운영(정신장애인 사회재활, 아동청소년 정신보건사업) 및 자살예방사업",09:00,18:00,매주토요일+매주일요일+공휴일,101,1,3,2,0,0,,033-461-2425,인제군보건소,033-461-2122,강원도 인제군 보건소,2020-10-15,4330000,강원도 인제군
동구정신건강복지센터,정신보건,대구광역시 동구 동촌로 79,대구광역시 동구 검사동 1005-8,35.88812099,128.6512343,"정신건강증진, 자살예방사업 등",09:00,18:00,토요일+일요일+공휴일,129.03,1,2,5,0,6,,053-983-8340,대구가톨릭대학교,053-662-3237,대구광역시 동구보건소,2020-06-25,3420000,대구광역시 동구
수원시행복정신건강복지센터,정신보건,"경기도 수원시 장안구 송원로 101, 1층 (조원동, 장안구청)",경기도 수원시 장안구 조원동 888,37.3040283311,127.0103128924,"수원시마음건강 지원 사업, 생애주기별 정신건강증진 및 질환예방사업 등 수원시 정신건강 비젼 및 계획수립",09:00,18:00,토요일+일요일+공휴일,101,1,5,7,,임상심리사(1)+기타(3),,031-253-5737,장안구보건소,031-228-5907,수원시 장안구보건소,2020-08-13,3740000,경기도 수원시
수원시아동청소년정신건강복지센터,정신보건,경기도 수원시 팔달구 동말로 47번길 17,경기도 수원시 팔달구 화서동 134-3,37.2793327,126.9993516,"지역 내 아동 청소년 정신보건사업 기획, 조기중재사업 평가사업",09:00,18:00,토요일+일요일+공휴일,603,1,2,7,,기타(1),,031-242-5736,장안구보건소,031-228-5907,수원시 장안구보건소,2020-08-13,3740000,경기도 수원시
수원시성인정신건강복지센터,정신보건,경기도 수원시 팔달구 매산로 89 2층,경기도 수원시 팔달구 매산로 3가 43-1,37.2704216,127.0106758,"중증정신 질환 관리, 정신건강 증진사업",09:00,18:00,토요일+일요일+공휴일,222,1,5,8,,임상심리사(2)+작업치료사(1)+기타(1),,031-247-0887,장안구보건소,031-228-5920,수원시 장안구보건소,2020-08-13,3740000,경기도 수원시
수원시자살예방센터,정신보건,"경기도 수원시 팔달구 동말로 47번길 17, 3층 (화서동)",경기도 수원시 팔달구 화서동 134-3,37.27939602,126.999319,"수원시 자살예방사업 종합계획 수립, 자살 고위험군 등록관리 및 치료지원",09:00,18:00,토요일+일요일+공휴일,208.62,1,1,9,,임상심리사(1),,031-247-3279,장안구보건소,031-228-5920,수원시 장안구보건소,2020-08-13,3740000,경기도 수원시
다산건강생활지원센터,건강증진,경기도 남양주시 다산중앙로 7,경기도 남양주시 다산동 6150,37.613928,127.1555493483,"만성질환 예방관리, 건강생활실천 상담, 교육프로그램 운영",09:00,18:00,토요일+일요일+공휴일,370,0,1,0,0,2,,031-590-8580,,,남양주보건소,2020-06-30,3990000,경기도 남양주시
별내건강생활지원센터,건강증진,경기도 남양주시 별내3로 64-21,경기도 남양주시 별내동 1028,37.6461674073,127.1218816736,"만성질환 예방관리, 건강생활실천 상담, 교육프로그램 운영",09:00,18:00,토요일+일요일+공휴일,415,0,2,0,0,1,,031-590-8188,,,남양주풍양보건소,2020-06-30,3990000,경기도 남양주시
오남건강생활지원센터,건강증진,경기도 남양주시 오남읍 진건오남로 806-34,경기도 남양주시 오남읍 양지리 96-10,37.6985759603,127.2048422425,"만성질환 예방관리, 건강생활실천 상담, 교육프로그램 운영",09:00,18:00,토요일+일요일+공휴일,243,0,2,0,1,1,,031-590-8501,,,남양주풍양보건소,2020-06-30,3990000,경기도 남양주시
용산구 시민건강관리센터,건강증진,서울특별시 용산구 녹사평대로150,,37.5324526548,126.9904782550,"대사증후군관리, 금연상담",09:00,18:00,매주토요일+매주일요일+공휴일,,2,7,0,,,,02-2199-8158,,,서울특별시 용산구 보건소,2020-06-30,3020000,서울특별시 용산구
용산구 정신건강복지센터,정신보건,서울특별시 용산구 녹사평대로150,,37.5324526548,126.9904782550,"중증정신질환자 사례관리,정신건강상담 등",09:00,18:00,매주토요일+매주일요일+공휴일,,0,4,4,,,,02-2199-8340,,,서울특별시 용산구 보건소,2020-06-30,3020000,서울특별시 용산구
충주시건강증진센터,건강증진,충청북도 충주시 충인1길 16,충청북도 충주시 충의동 14,36.9756729973,127.9287889644,"영양,운동, 건강상담",09:00,18:00,"토,일,법정공휴일",367,0,1,0,1,2,,043-850-3290,충주시건강증진센터,043-850-3520,충주시보건소,2020-06-30,4390000,충청북도 충주시
산청군 정신건강복지센터,정신보건,경상남도 산청군 산청읍 중앙로 97,경상남도 산청군 산청읍 지리 797,35.4160820622,127.8842381443,정신건강사업 및 자살예방사업,09:00,18:00,"매주 토요일, 일요일, 공휴일",316,0,5,0,0,센터장(1)+공무원(2),,055-970-7631,,055-970-7573,산청군청,2020-06-30,5450000,경상남도 산청군
전주시보건소건강증진센터,건강증진,전라북도 전주시 완산구 전라감영로 33(전주시보건소 3층),전라북도 전주시 완산구 중앙동4가 30-1,35.8158460422,127.1433514221,"영양, 비만, 운동, 절주 등 개인 및 소규모집단에 대한 교육, 상담분야별 지속 프로그램 운영",09:00,18:00,법정공휴일,323.4,0,3,0,3,2,,063-281-6335,전주시보건소,063-281-6312,전라북도 전주시보건소,2020-08-31,4640000,전라북도 전주시
효성건강생활지원센터,건강증진,인천광역시 계양구 봉오대로543번길 21,인천광역시 계양구 효성동 85,37.532549,126.7086103178,"만성질환등록관리, 교육 프로그램 운영, 기타서비스제공(치매선별검사,금연클리닉,불소용액 및 틀니 세정제 제공, 모자보건 등)",09:00,18:00,토요일+일요일+공휴일,,0,3,0,1,생활체육지도자(1),콜레스테롤검사시 예약 필수,032-430-7793,효성건강생활지원센터,,인천광역시 계양구 보건소,2020-03-27,3550000,인천광역시 계양구
부산진구 건강증진센터,건강증진,부산광역시 부산진구 시민공원로 30,부산광역시 부산진구 부암동 666-16,35.1628298528,129.0531867477,"건강증진사업, 정신건강복지센터, 영양상담실, 금연클리닉, 만성질환관리실, 체력측정실",09:00,18:00,토요일+일요일+공휴일,,0,21,13,,,,051-605-5941,부산진구청,051-605-5941,부산진구청,2020-04-10,3290000,부산광역시 부산진구
완정건강생활지원센터,건강증진,"인천광역시 서구 청마로167번길 19 (당하동, 2층)",인천광역시 서구 당하동 1097-4,37.59210105,126.6746306,영양관리+대사증후군관리+비만+금연관리+임산부관리+구강건강+건강강좌+재활보건사업,09:00,18:00,매주 토요일+일요일+공휴일,,0,2,0,1,운동처방사(1)+치위생사(1),,032-560-3400,인천광역시 서구 보건소,032-560-3400,인천광역시 서구 보건소,2020-10-15,3560000,인천광역시 서구
석남건강생활지원센터,건강증진,"인천광역시 서구 길주로 79, 601호 (석남동, 성한캐슬)",인천광역시 서구 석남동 518-18,37.50676645,126.6708789629,영양관리+대사증후군관리+비만+금연관리+임산부관리+구강건강+건강강좌+어린이건강체험관,09:00,18:00,매주 토요일+일요일+공휴일,,0,4,0,1,운동처방사(1),,032-560-2960,인천광역시 서구 보건소,032-560-2960,인천광역시 서구 보건소,2020-10-15,3560000,인천광역시 서구
가좌건강생활지원센터,건강증진,인천광역시 서구 건지로284번길 60 (가좌동),인천광역시 서구 가좌동 145-43,37.49393135,126.6730183,영양관리+대사증후군관리+비만+금연관리+임산부관리+구강건강+건강강좌,09:00,18:00,매주 토요일+일요일+공휴일,,0,3,0,1,운동처방사(1),,032-560-2990,인천광역시 서구 보건소,032-560-2990,인천광역시 서구 보건소,2020-10-15,3560000,인천광역시 서구
U_만성질환관리센터(정남),건강증진,경기도 화성시 정남면 서봉로 998,경기도 화성시 정남면 신리 260-1번지,37.1602738385,126.9711115730,고혈압_당뇨병_이상지질혈증_비만_비약물관리,09:00,18:00,토요일_일요일_공휴일,125,0,1,0,1,1,0,031-5189-4481,수원여자대학교산학협력단,031-5189-4738,화성시보건소,2020-05-27,5530000,경기도 화성시
서산시보건소 건강증진센터,건강증진,충청남도 서산시 호수공원 6로 6,충청남도 서산시 예천동 496-1,36.77457668,126.4445156,"아침운동, 요통예방운동, 건강체력향상운동, 대사증후군개선운동, 비만관리,영양관리, 건강상담",09:00,18:00,"매주 토요일, 일요일, 공휴일",4620.01,0,1,0,1,운동처방사(1),검사 전날 밤 10부터 금식 요망,041-661-8106,서산시보건소,041-661-6557,충청남도 서산시 보건소,2020-06-26,4530000,충청남도 서산시
문경시정신건강복지센터,정신보건,경상북도 문경시 신흥로 165,경상북도 문경시 점촌동 166-6,36.5957673721,128.2023884135,"중증정신질환자 관리사업, 정신건강증진/환경조성사업, 자살예방사업",09:00,18:00,"토,일요일,공휴일",169.64,1,4,8,0,0,0,054-554-0802,문경대학교,054-559-1032,문경시보건소,2020-07-06,5120000,경상북도 문경시
경주시정신건강증진센터,정신보건,경상북도 경주시 양정로 300,경상북도 경주시 동천동 987,35.85948296,129.224632,"중증정신질환관리사업, 정신건강증진사업, 아동청소년 정신건강증진사업, 자살예방 및 정신건강증진사업, 정신보건환경조성사업",09:00,18:00,주말 및 공휴일,112,1,1,8,0,2,전문의 상담시 전화예약 필수,054-741-2300,새빛병원,054-779-8652,경상북도 경주시 보건소,2020-07-03,5050000,경상북도 경주시
진주시 정신건강복지센터,정신보건,"경상남도 진주시 월아산로 983, 2층","경상남도 진주시 문산읍 삼곡리 995-1, 2층",35.1591275232,128.163613,"주간재활프로그램, 무료상담소 운영, 정신질환 의료비 지원 등",09:00,18:00,매주 토요일+매주 일요일+공휴일,,1,12,2,,,전화 요망,055-749-5774,,,진주시 보건소,2020-06-30,5310000,경상남도 진주시
